first,last,role,bigfinish,dob,alive,dod,death_age,category,category_id
Daisy,Haggard,"Sophie in ""The Lodger"" and ""Closing Time""",FALSE,1/1/1978,TRUE,,,7 - Major recurring character,7
Sophie,Okonedo,"Liz X in Series 5 and Alison Cheney in ""Scream of the Shalka""",FALSE,1/1/1969,TRUE,,,7 - Major recurring character,2
Dave,Martin,Writer of 8 stories 1971-1979 and co-creator of K9,FALSE,1/1/1935,FALSE,2007,72,5 - Multiple other roles,5
Toby,Hadoke,"Moderator of Doctor Who DVD commentaries from 2009-Present, and recurring characters in multiple Big Finish ranges",FALSE,1/2/1974,TRUE,,,5 - Multiple other roles,5
Deborah,Watling,Victoria Waterfield 1967-1968,TRUE,1/2/1948,FALSE,2017,69,2 - The Doctor's companion,2
Shayne,Armstrong,Writer and storyline writer of five K-9 episodes,FALSE,1/4/1970,TRUE,,,10 - Frequent writer or director,10
Rowan,Atkinson,9th Doctor in Curse of Fatal Death,FALSE,1/6/1955,TRUE,,,1 - The Doctor,1
William,Hartnell,The Doctor 1963-1966 and 1973,FALSE,1/8/1908,FALSE,1975,67,1 - The Doctor,1
Jack,Watling,"Professor Travers in ""The Abominable Snowmen"" and ""Web of Fear,"" also the father of Victoria actor Deborah Watling",FALSE,1/13/1923,FALSE,2001,78,5 - Multiple other roles,5
Randy,McCullick,An Unearthly Podcast's Ran-San,FALSE,1/13/1976,FALSE,2023,47,4 - Spin-off main character,4
Jemma,Redgrave,Kath Lethbridge-Stewart 2012 to Present,TRUE,1/14/1965,TRUE,,,7 - Major recurring character,7
Ajoa,Andoh,Francine Jones Series 3-4,TRUE,1/14/1963,TRUE,,,7 - Major recurring character,7
Richard,Franklin,Mike Yates 1971-1974 and 1983,TRUE,1/15/1937,FALSE,2023,87,2 - The Doctor's companion,2
Malcolm,Clarke,Incidental music for 7 stories 1972-1986,FALSE,1/17/1943,FALSE,2003,60,"6 - Other producers, script editors, and composers",6
Christopher H.,Bidmead,Script Editor for Season 18 and writer of 3 stories 1981-1984,TRUE,1/18/1941,FALSE,2025,84,"3 - Doctor Who showrunner, producer, or story editor",3
Tom,Baker,"The Doctor 1974-1981, the Curator 2013",TRUE,1/20/1934,TRUE,,,1 - The Doctor,1
Tommy,Knight,"Luke in Sarah Jane Adventures and ""The Stolen Earth/Journey's End""",FALSE,1/22/1993,TRUE,,,4 - Spin-off main character,4
Pamela,Salem,"Several side roles including Rachel Jensen in ""Remembrance of the Daleks,"" which she reprised throughout the Big Finish Countermeasures range",FALSE,1/22/1944,FALSE,2024,80,8 - Minor recurring character,8
John,Hurt,"The War Doctor in ""The Name of the Doctor"" and ""The Day of the Doctor""",TRUE,1/22/1940,FALSE,2017,77,1 - The Doctor,1
Malcolm,Young,Executive Producer for Series 1,FALSE,1/26/1957,TRUE,,,"3 - Doctor Who showrunner, producer, or story editor",3
Catrin,Stewart,Jenny Flint 2011-2014,TRUE,1/29/1988,TRUE,,,7 - Major recurring character,7
Daphne,Ashbrook,Grace Holloway in the TV Movie,TRUE,1/30/1963,TRUE,,,2 - The Doctor's companion,2
Elisabeth,Sladen,"Sarah Jane Smith 1973-1976, 1981, 1983, 2006-2011",TRUE,2/1/1946,FALSE,2011,65,2 - The Doctor's companion,2
